From_Date,From Time,Offense,Zip Code,DVFlag,Race,Sex,Firearm Used Flag  
41862,0.71,1849,64137,U,,,N
41903,0.88,502,64129,N,B,M,N
41762,0.39,2001,,U,B,F,N
41794,0.5,2601,,U,W,M,N
41911,0.94,1401,,U,U,U,N
41936,0.96,799,,U,U,M,N
41909,0.54,502,64152,N,U,U,N
41657,0.02,1122,64153,N,U,U,N
41784,0.97,2402,64118,U,,,N
41841,0.61,650,64126,U,U,U,N
41940,0.79,640,64111,U,W,F,N
41778,0.78,802,64132,N,B,M,N
41843,0.34,650,64153,N,W,F,N
41796,0.47,690,64106,U,W,M,N
41992,0.83,702,64132,U,U,U,N
41821,0.46,501,64127,U,W,M,N
41703,0.56,2601,,U,,,N
41980,0.07,1401,,U,U,U,N
41902,0.73,1401,64108,U,,,N
41769,0.88,640,64124,U,U,U,N
41734,0.88,501,64123,U,U,U,N
41992,0.99,702,64132,U,B,F,N
41925,0.56,1401,64130,U,B,M,N
41815,0.94,302,64128,U,B,M,N
41919,0.46,650,64138,U,U,U,N
41731,0.73,501,,U,U,U,N
41909,0.31,2655,,U,B,F,N
41821,0.62,2601,64105,U,,,N
41713,0.83,640,,U,,,N
41752,0.05,901,64127,U,U,U,N
41734,0.62,2601,,U,,,N
41762,0.6,801,,U,B,F,N
41686,0.9,702,,U,B,F,N
41803,0.82,502,,U,,,N
41967,0,1401,,U,B,F,N
41889,0.88,1850,,U,,,N
41639,0.77,702,64108,U,,,N
41973,0.94,2655,64111,U,,,N
41987,0.09,801,,U,B,M,N
41990,0.79,690,,U,U,U,N
41777,0.81,2655,64133,U,W,M,N
41922,0.08,640,,U,W,F,N
41816,0.9,1401,,U,,,N
41757,0.77,1401,64131,U,,,N
41914,0.92,802,,Y,B,M,N
41811,0.8,2601,,U,U,U,N
41980,0.19,901,64131,U,U,U,N
41676,0.61,702,64131,U,B,M,N
,,1401,,U,B,M,N
41717,0.31,201,64106,U,B,M,N
41796,0.45,801,,N,W,F,N
41910,0.67,801,,U,,,N
41746,0.67,1849,,U,,,N
41706,0.84,302,,U,U,U,Y
41990,0.73,640,,U,W,F,N
41843,0.33,1849,,U,,,N
41807,0.8,901,64128,U,U,U,N
41884,0.53,101,,U,W,F,N
41965,0.01,799,,U,W,M,N
41746,0.06,2655,64124,U,B,M,N
41595,,101,,U,W,M,N
41811,0.45,302,,U,B,M,Y
41906,0.35,1849,64134,U,,,N
41730,0.81,302,,U,B,M,Y
41743,0.32,801,64114,U,B,M,N
41961,0.46,1001,,N,B,M,N
41814,0.8,2601,,U,B,M,N
41878,0.66,640,,U,U,U,N
41709,0.92,702,64134,U,B,M,N
41247,0.5,1001,64127,N,U,U,N
41662,0.53,2601,,U,U,U,N
41772,0.5,690,,U,U,U,N
41876,0.1,1401,,U,U,U,N
41903,0.81,801,,U,B,F,N
41779,0.76,802,,Y,B,M,N
41737,0.04,901,64106,U,U,U,N
41864,0.73,2601,,U,B,F,N
41793,0.77,2601,64633,U,U,U,N
41873,0.31,1849,,U,,,N
41700,0.02,840,64105,U,,,N
41909,0.93,802,,U,,,N
41948,0.49,630,64145,U,,,N
41776,0.89,2655,64105,U,,,N
41707,0.26,690,64127,N,B,M,N
41858,0.96,1849,64110,U,B,M,N
41661,0.15,501,64131,U,B,F,N
41784,0.11,840,64106,U,,,N
41857,0.84,1401,64114,U,B,M,N
41848,0.34,1850,64118,U,,,N
41775,0.79,2655,64108,U,,,N
41798,0.43,802,64124,U,B,M,N
41820,0.51,799,64145,U,U,U,N
41741,0.94,802,64128,Y,B,M,N
41966,0.07,802,64124,Y,W,F,N
41855,0.52,630,64154,U,,,N
41833,0.74,1002,64133,U,U,U,N
41832,0.46,501,64133,U,U,U,N
41704,0.81,802,64124,U,W,M,N
41706,0.9,640,64114,U,W,F,N
41886,0.53,802,64101,U,B,M,N
41777,0.81,301,64127,N,B,M,N
41751,0.93,802,64108,Y,B,M,N
41979,0.79,1401,64106,U,U,U,N
41781,0.11,801,64118,U,W,M,N
41641,0.58,690,64108,U,W,M,N
41858,0.94,2402,64133,U,,,N
41825,0.88,1401,64151,N,U,M,N
41686,0.32,2601,64130,U,U,U,N
41750,0.6,2601,64130,U,B,F,N
41855,0.6,702,64123,U,W,F,N
41995,0.31,501,64126,U,U,U,N
41664,0.38,702,64152,N,U,U,N
41663,0.13,802,64132,Y,B,M,N
41709,0.39,831,64145,U,U,U,N
41847,0.13,802,64126,Y,W,M,N
41670,0.06,302,64127,N,B,M,Y
41658,0.59,802,64130,Y,B,F,N
41873,0.56,302,64110,U,B,M,Y
41708,0.5,702,64127,U,U,U,N
41863,0.19,702,64114,U,W,M,N
41908,0.58,302,64133,U,B,M,Y
41923,0.79,302,64127,N,W,M,Y
41894,0.49,1849,64110,U,,,N
41851,0.42,1401,64138,U,U,U,N
41659,0.81,401,64109,N,U,M,Y
41986,0.71,670,64109,U,,,N
41871,0.11,1401,64106,U,W,M,N
41931,0.71,1401,64134,U,B,M,N
41755,0.64,501,64128,U,B,M,N
41992,0.92,640,64114,U,U,U,N
42004,0.54,1849,64131,U,,,N
41831,0.95,2601,64134,U,B,M,N
41858,0.96,1849,64110,U,B,M,N
41831,0.73,802,64133,Y,B,M,N
41698,0.04,2100,64132,U,B,F,N
41679,0.11,1401,64111,U,W,F,N
41994,0.69,501,64119,U,U,U,N
41642,0.88,501,64106,U,U,U,N
41988,0.83,702,64116,N,U,U,N
41927,0.85,650,64134,U,,,N
41635,0.29,670,64118,N,W,F,N
41846,0.58,502,64101,U,W,M,N
41869,0.95,801,64118,N,W,F,N
41885,0.96,670,64118,N,B,M,N
41850,0.65,501,64118,U,U,U,N
41784,0.78,640,64111,U,W,M,N
41814,0.06,2402,64127,U,W,M,N
41834,0.3,802,64124,Y,B,M,N
41845,0.79,630,64113,U,,,N
41770,0.73,2655,64105,U,,,N
41776,0.54,650,64147,U,B,F,N
41933,0.08,502,64109,N,W,M,N
41976,0.67,401,64109,U,B,F,N
41883,0.56,640,64114,U,W,M,N
41983,0.32,799,64113,U,U,M,N
41898,0.83,702,64131,U,U,U,N
41690,0.79,630,64133,U,W,M,N
41990,0.76,630,64127,U,B,M,N
41809,0.73,1401,64130,U,U,U,N
41852,0.33,2601,,U,,,N
41906,0.47,802,64128,Y,B,F,N
41819,0.91,403,64128,Y,B,F,N
41813,0.58,690,64114,U,U,U,N
41918,0.63,670,64127,N,W,M,N
41918,0.01,802,64136,U,W,M,N
41802,0.9,1401,64128,N,B,F,N
41756,0.71,501,64130,N,U,U,N
41645,0.85,840,64127,U,B,F,N
41997,0.38,501,64134,U,B,M,N
41741,0.81,1401,64117,N,W,F,N
41916,0.73,640,64108,U,U,U,N
41965,0.94,802,64134,Y,A,M,N
41813,0.82,690,,U,W,F,N
41898,0.59,650,64116,U,U,U,N
41878,0.88,1401,64134,Y,B,M,N
41683,0.73,501,64131,U,B,F,N
41637,0.75,702,64131,U,U,U,N
41906,0.79,690,64138,U,,,N
41930,0.07,840,64111,U,,,N
41743,0.42,640,64106,U,W,F,N
41811,0.75,650,64131,U,U,U,N
41988,0.88,502,64116,U,,,N
41863,0.34,403,64110,U,B,M,N
41897,0.52,640,64106,U,U,U,N
41711,0.72,802,64119,Y,W,F,N
41972,0.61,501,64134,U,,,N
41653,0.87,2655,64111,U,,,N
41850,0.44,1401,64109,U,B,M,N
41776,0.91,802,64133,Y,W,F,N
41677,0.84,1401,64127,U,U,U,N
41889,0.79,640,64112,U,W,M,N
41703,0.42,501,64114,U,W,F,N
41868,0.02,501,64126,U,U,U,N
41713,0.98,501,64127,U,U,U,N
41735,0.82,1201,64145,U,W,M,N
41922,0.4,2601,64108,U,U,U,N
41794,0.35,1850,64108,U,,,N
41877,0.65,802,,Y,W,M,N
41889,0.92,630,64130,U,B,F,N
41902,0.48,650,64111,U,U,U,N
41880,0.96,1401,,U,U,U,N
41544,0.5,1198,64134,U,W,F,N
41822,0.7,630,64158,U,,,N
41720,0.75,501,64134,U,B,M,N
41874,0.29,670,64106,N,U,U,N
41958,0.94,302,64123,U,W,M,Y
41718,0.84,630,64145,U,,,N
41820,0.13,640,64111,U,B,F,N
41672,0.8,802,64119,Y,W,M,N
41669,0.73,640,64131,U,B,M,N
41741,0.69,1401,64127,U,B,M,N
41915,0.81,801,64130,U,B,F,N
41886,0.31,1401,64123,U,W,M,N
41689,0.22,831,64119,Y,W,F,N
41648,0,1849,64130,U,W,F,N
41868,0.33,670,64138,U,U,U,N
41944,0.09,1401,64111,U,W,M,N
41835,0.71,501,64134,U,U,U,N
41743,0.58,840,64108,U,B,M,N
41945,0.77,831,64131,Y,W,M,N
41823,0.92,1401,64118,N,U,U,N
41642,0.15,502,64111,U,,,N
41791,0.7,801,64133,N,W,M,N
41982,0.34,2601,64110,U,,,N
41877,0.71,702,64131,U,B,M,N
41837,0.64,1120,64133,U,,,N
41684,0.13,802,64130,Y,B,M,N
